323,text/h323
omcr,application/x-omcregerator
p,text/x-pascal
p10,application/pkcs10
p10,application/x-pkcs10
p12,application/pkcs-12
p12,application/x-pkcs12
p7a,application/x-pkcs7-signature
p7b,application/x-pkcs7-certificates
p7c,application/pkcs7-mime
p7c,application/x-pkcs7-mime
p7m,application/pkcs7-mime
p7m,application/x-pkcs7-mime
p7r,application/x-pkcs7-certreqresp
p7s,application/pkcs7-signature
p7s,application/x-pkcs7-signature
part,application/pro_eng
pas,text/pascal
pbm,image/x-portable-bitmap
pcl,application/vnd.hp-pcl
pcl,application/x-pcl
pct,image/pict
pct,image/x-pict
pcx,image/x-pcx
pdb,chemical/x-pdb
pdf,application/pdf
pfunk,audio/make
pfx,application/x-pkcs12
pgm,image/x-portable-graymap
pgn,application/x-chess-pgn
pic,image/pict
pict,image/pict
pkg,application/x-newton-compatible-pkg
pko,application/vnd.ms-pki.pko
pl,text/x-script.perl
plx,application/x-pixclscript
pm,text/x-script.perl-module
pm4,application/x-pagemaker
pm5,application/x-pagemaker
pma,application/x-perfmon
pmc,application/x-perfmon
pml,application/x-perfmon
pmr,application/x-perfmon
pmw,application/x-perfmon
png,image/png
pnm,image/x-portable-anymap
pnt,image/x-macpaint
pntg,image/x-macpaint
pot,application/mspowerpoint
pov,model/x-pov
ppa,application/vnd.ms-powerpoint
ppm,image/x-portable-pixmap
pps,application/mspowerpoint
ppt,application/powerpoint
ppz,application/mspowerpoint
pre,application/x-freelance
prf,application/pics-rules
prt,application/pro_eng
ps,application/postscript
psd,application/octet-stream
pub,application/x-mspublisher
pvu,paleovu/x-pv
pwz,application/vnd.ms-powerpoint
py,text/x-script.phyton
pyc,applicaiton/x-bytecode.python
qcp,audio/vnd.qcelp
qd3,x-world/x-3dmf
qd3d,x-world/x-3dmf
qif,image/x-quicktime
qt,video/quicktime
qtc,video/x-qtc
qti,image/x-quicktime
qtif,image/x-quicktime
ra,audio/x-realaudio
ram,audio/x-pn-realaudio
ras,image/cmu-raster
rast,image/cmu-raster
rdf,application/rdf+xml
rexx,text/x-script.rexx
rf,image/vnd.rn-realflash
rgb,image/x-rgb
rm,audio/x-pn-realaudio
rmi,audio/mid
rmm,audio/x-pn-realaudio
rmp,audio/x-pn-realaudio
rng,application/ringing-tones
rnx,application/vnd.rn-realplayer
roff,application/x-troff
rp,image/vnd.rn-realpix
rpm,audio/x-pn-realaudio-plugin
rt,text/richtext
rtf,text/richtext
rtx,text/richtext
rv,video/vnd.rn-realvideo
s,text/x-asm
s3m,audio/s3m
saveme,application/octet-stream
sbk,application/x-tbook
scd,application/x-msschedule
scm,application/x-lotusscreencam
scm,text/x-script.guile
sct,text/scriptlet
sdml,text/plain
sdp,application/sdp
sdr,application/sounder
sea,application/sea
set,application/set
setpay,application/set-payment-initiation
setreg,application/set-registration-initiation
sgm,text/sgml
sgml,text/sgml
sh,text/x-script.sh
shar,application/x-shar
shtml,text/html
sid,audio/x-psid
silo,model/mesh
sit,application/x-stuffit
skd,application/x-koan
skm,application/x-koan
skp,application/x-koan
skt,application/x-koan
sl,application/x-seelogo
smi,application/smil
smil,application/smil
snd,audio/basic
so,application/octet-stream
sol,application/solids
spc,text/x-speech
spl,application/futuresplash
spr,application/x-sprite
sprite,application/x-sprite
src,application/x-wais-source
ssi,text/x-server-parsed-html
ssm,application/streamingmedia
sst,application/vnd.ms-pki.certstore
step,application/step
stl,application/sla
stm,text/html
stp,application/step
sv4cpio,application/x-sv4cpio
sv4crc,application/x-sv4crc
svf,image/x-dwg
svg,image/svg+xml
svr,application/x-world
swf,application/x-shockwave-flash
t,application/x-troff
talk,text/x-speech
tar,application/x-tar
tbk,application/toolbook
tcl,text/x-script.tcl
tcsh,text/x-script.tcsh
tex,application/x-tex
texi,application/x-texinfo
texinfo,application/x-texinfo
text,text/plain
tgz,application/x-compressed
tif,image/tiff
tiff,image/tiff
tr,application/x-troff
trm,application/x-msterminal
tsi,audio/tsp-audio
tsp,audio/tsplayer
tsv,text/tab-separated-values
turbot,image/florian
txt,text/plain
uil,text/x-uil
uls,text/iuls
uni,text/uri-list
unis,text/uri-list
unv,application/i-deas
uri,text/uri-list
uris,text/uri-list
ustar,application/x-ustar
uu,text/x-uuencode
uue,text/x-uuencode
vcd,application/x-cdlink
vcf,text/x-vcard
vcs,text/x-vcalendar
vda,application/vda
vdo,video/vdo
vew,application/groupwise
viv,video/vivo
vivo,video/vivo
vmd,application/vocaltec-media-desc
vmf,application/vocaltec-media-file
voc,audio/voc
voc,audio/x-voc
vos,video/vosaic
vox,audio/voxware
vqe,audio/x-twinvq-plugin
vqf,audio/x-twinvq
